ewtb.r.234261.4:36	for	Purpose	We live in the sub-division around the corner and after it happened and we brought it up at some neighborhood gatherings we discovered that several people from this neighborhood alone had pets go to Dr. Mann |for| surgical procedures and came back dead .
ewtb.r.234261.4:5	around	Location	We live in the sub-division |around| the corner and after it happened and we brought it up at some neighborhood gatherings we discovered that several people from this neighborhood alone had pets go to Dr. Mann for surgical procedures and came back dead .
ewtb.r.234261.4:9	after	RelativeTime	We live in the sub-division around the corner and |after| it happened and we brought it up at some neighborhood gatherings we discovered that several people from this neighborhood alone had pets go to Dr. Mann for surgical procedures and came back dead .
ewtb.r.234261.5:20	to	Destination	If you take him here for shots , no big deal but I would never let this man apply anesthetic |to| my pet ever again .
ewtb.r.234261.5:5	for	Purpose	If you take him here |for| shots , no big deal but I would never let this man apply anesthetic to my pet ever again .
ewtb.r.234261.7:4	as	Attribute	They actually itemized it |as| a DISPOSAL fee .
ewtb.r.234261.8:1	AT ALL COSTS	Extent	AVOID |AT| |ALL| |COSTS| .
ewtb.r.235190.2:13	to	Beneficiary	Believe it or not , but the channel guide has been most helpful |to| my family members that visit and do n't know where to start when it comes to watching satellite tv .
ewtb.r.235211.3:13	with	Attribute	It led me to believe that the reviewers simply had difficulty tolerating people |with| strongly - accented English .
ewtb.r.235211.5:14	with	Beneficiary	We have had many conversations with them and they have always been extremely patient |with| me as I tried on multiple hats in search of the right costumes for my magic act .
ewtb.r.235211.5:16	as	Explanation	We have had many conversations with them and they have always been extremely patient with me |as| I tried on multiple hats in search of the right costumes for my magic act .
ewtb.r.235211.5:22	in search of	Manner	We have had many conversations with them and they have always been extremely patient with me as I tried on multiple hats |in| |search| |of| the right costumes for my magic act .
ewtb.r.235211.5:28	for	Purpose	We have had many conversations with them and they have always been extremely patient with me as I tried on multiple hats in search of the right costumes |for| my magic act .
ewtb.r.235211.5:5	with	Co-Agent	We have had many conversations |with| them and they have always been extremely patient with me as I tried on multiple hats in search of the right costumes for my magic act .
ewtb.r.235423.11:5	about	Approximator	We had to throw out |about| 80 percent of our meals because the food tasted so horrible .
ewtb.r.235423.11:8	of	Superset	We had to throw out about 80 percent |of| our meals because the food tasted so horrible .
ewtb.r.235423.15:13	of	Possessor	Lucky Panda in Willis is a billion times better in service and quality |of| the meal .
ewtb.r.235423.15:2	in	Location	Lucky Panda |in| Willis is a billion times better in service and quality of the meal .
ewtb.r.235423.15:9	in	Attribute	Lucky Panda in Willis is a billion times better |in| service and quality of the meal .
ewtb.r.235423.16:12	in	Location	I have no idea how China Delight won number 1 Chinese restaurant |in| Montgomery - There needs to be a recount on that vote .
ewtb.r.235423.16:21	on	Theme	I have no idea how China Delight won number 1 Chinese restaurant in Montgomery - There needs to be a recount |on| that vote .
ewtb.r.235423.2:2	by far	Extent	This is |by| |far| the worst chinese food I have ever had .
ewtb.r.235423.4:18	with	Co-Theme	I called in my order and upon arriving to pick it up , they got my order confused |with| someone else s .
ewtb.r.235423.4:6	upon	Time	I called in my order and |upon| arriving to pick it up , they got my order confused with someone else s .
ewtb.r.235423.4:8	to	Purpose	I called in my order and upon arriving |to| pick it up , they got my order confused with someone else s .
ewtb.r.235423.5:2	about	Approximator	They helped |about| three other people before they offered to help me again .
ewtb.r.235423.5:6	before	RelativeTime	They helped about three other people |before| they offered to help me again .
ewtb.r.235423.6:17	than	Scalar/Rank	They also got my friend s order mixed up and wanted to charger her $ 10 more |than| what she had wanted .
ewtb.r.235423.7:2	for	Theme	She asked |for| the dinner combo and they gave her two dinner plates instead .
ewtb.r.235423.8:3	in	Location	We were standing |in| the store for 20 minutes to simply pick up an order .
ewtb.r.235423.8:6	for	Duration	We were standing in the store |for| 20 minutes to simply pick up an order .
ewtb.r.235423.8:9	to	Purpose	We were standing in the store for 20 minutes |to| simply pick up an order .
ewtb.r.235423.9:8	about	Approximator	Not to mention that the wait staff was |about| as pleasant as dealing with an angry bull .
ewtb.r.235462.1:1	on	Location	Hobbs |on| Mass .
ewtb.r.235462.2:4	in	Location	Absolutely my favorite store |in| Lawrence , KS
ewtb.r.235576.1:3	in	Location	The Best Breakfast |in| Solana Beach !
ewtb.r.235576.3:6	to	Function	Without a doubt the best place |to| grab a tall bloody mary and some eggs benedict .
ewtb.r.235576.4:12	with good reason	Explanation	T 's has been a North County landmark for thirty years and |with| |good| |reason| .
ewtb.r.235576.4:8	for	Duration	T 's has been a North County landmark |for| thirty years and with good reason .
ewtb.r.235576.5:16	with	Manner	Family owned and operated makes sure the atmosphere is relaxed and the food home - cooked |with| style .
ewtb.r.235576.6:7	of	Quantity	I highly recommend picking up a jug |of| their homemade bloody mary mix - definitely the best .
ewtb.r.235576.7:12	in	Locus	If you 've been to North County , chances are it 's |in| your favorites list already .
ewtb.r.236648.2:1	in	Direction	Walked |in| and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.236648.2:10	with	Attribute	Walked in and was out ta there in 10 mins |with| a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.236648.2:31	with	Circumstance	Walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but |with| my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.236648.2:4	out ta	InitialLocation	Walked in and was |out| |ta| there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.236648.2:47	out there	Locus	Walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal |out| |there| .
ewtb.r.236648.2:7	in	Duration	Walked in and was out ta there |in| 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there .
ewtb.r.238839.3:7	of	Whole	The salads are limp and the rest |of| the food is n't any better ( ok , the nachos are not too bad ! )
ewtb.r.238839.4:11	past	RelativeTime	This place may have been something sometime ; but it way |past| it " sell by date " .
ewtb.r.238839.4:15	by	RelativeTime	This place may have been something sometime ; but it way past it " sell |by| date " .
ewtb.r.238839.5:13	back	Direction	I have eaten here twice in the past year and will not go |back| and can not recommend it .
ewtb.r.238839.5:5	in	Time	I have eaten here twice |in| the past year and will not go back and can not recommend it .
ewtb.r.239035.1:6	to	Function	Le petit is the best place |to| get your nails done !
ewtb.r.239035.3:5	for	Purpose	I go every other week |for| the shallac / gel manicure which is only $ 25 and it truly lasts 2 weeks !
ewtb.r.240287.2:20	for	Theme	Boutique stores dealing in children 's clothing / gifts are often outrageously priced ( who wants to pay 40 dollars |for| a newborn onesie ? )
ewtb.r.240287.3:16	for	Theme	but I was pleasantly surprised to find that the Purple Goose 's prices are reasonable ( |for| the SAME products found at other area boutiques , the prices were 20 - 25 % cheaper ) .
ewtb.r.240287.3:21	at	Location	but I was pleasantly surprised to find that the Purple Goose 's prices are reasonable ( for the SAME products found |at| other area boutiques , the prices were 20 - 25 % cheaper ) .
ewtb.r.240287.4:11	without	Attribute	The service was also excellent - friendly , helpful and informative |without| being overbearing .
ewtb.r.241739.2:23	for	Theme	Firstly , the other reviewer clearly has never been to Nick 's , or he would know that Nick only charges $ 13 |for| a haircut which is pretty much industry standard .
ewtb.r.241739.3:4	to	Destination	I have been going |to| Nick for 5 months now precisely because he does pay attention to detail .
ewtb.r.241739.3:6	for	Duration	I have been going to Nick |for| 5 months now precisely because he does pay attention to detail .
ewtb.r.241739.4:10	to	Purpose	I have terrible hair and he really takes his time |to| make it look right .
ewtb.r.241739.5:1	of	Superset	Some |of| the younger kids that work there are a bit sub par , but if you wait for Nick ... you 'll be good .
ewtb.r.241739.5:18	for	Theme	Some of the younger kids that work there are a bit sub par , but if you wait |for| Nick ... you 'll be good .
ewtb.r.241855.2:11	on	Time	I sometimes go into this store just for something to do |on| a sunday afternoon .
ewtb.r.241855.2:3	into	Destination	I sometimes go |into| this store just for something to do on a sunday afternoon .
ewtb.r.241855.2:7	for	Purpose	I sometimes go into this store just |for| something to do on a sunday afternoon .
ewtb.r.241855.4:2	to	Comparison/Contrast	Nothing compares |to| a home made product that really stands the test of time . -
ewtb.r.241855.6:2	like	Comparison/Contrast	But furniture |like| this will truly be around forever .
ewtb.r.241855.6:7	around	State	But furniture like this will truly be |around| forever .
ewtb.r.242303.1:6	for	Circumstance	Awesome bacon egg and cheese sandwich |for| breakfast .
ewtb.r.243369.2:2	from	Donor/Speaker	Just received |from| your flower store .
ewtb.r.243799.2:1	in	Location	went |in| there and got my dog groomed came home to an uneven dog then took him back to get evened up what a mistake !
ewtb.r.243799.2:17	back	Direction	went in there and got my dog groomed came home to an uneven dog then took him |back| to get evened up what a mistake !
ewtb.r.243799.2:18	to	Purpose	went in there and got my dog groomed came home to an uneven dog then took him back |to| get evened up what a mistake !
ewtb.r.243799.3:9	without	Manner	she did nt even let me finish a sentence |without| insulting me and telling me how i should have said it !
ewtb.r.243799.4:4	back	Direction	i wo nt go |back| !
ewtb.r.245160.2:2	at	ProfessionalAspect	the people |at| Fidelity Leasing were very friendly and helpful .
ewtb.r.245160.3:23	to	Function	i was looking for a car but did not really know what i wanted and they were very helpful and took the time |to| first figure out what my needs were and showing me various options to meet those needs .
ewtb.r.245160.3:3	for	Theme	i was looking |for| a car but did not really know what i wanted and they were very helpful and took the time to first figure out what my needs were and showing me various options to meet those needs .
ewtb.r.245160.3:36	to	Function	i was looking for a car but did not really know what i wanted and they were very helpful and took the time to first figure out what my needs were and showing me various options |to| meet those needs .
ewtb.r.245160.4:11	rather then	Comparison/Contrast	they seemed more interested in helping me find the right car |rather| |then| just make a sale .
ewtb.r.245160.5:2	with	Stimulus	my experience |with| them was great - low stress , very helpful and very personal .
ewtb.r.245160.6:0	after	RelativeTime	|after| finding the car i wanted they took the time to go over each step and making it as painless as possible .
ewtb.r.245160.6:10	to	Purpose	after finding the car i wanted they took the time |to| go over each step and making it as painless as possible .
ewtb.r.245160.7:0	from start to finish	Duration	|from| |start| |to| |finish| they were top notch .
ewtb.r.245160.8:8	for	Purpose	i would highly recommend calling these people up |for| your next car .
ewtb.r.245928.2:6	from	ProfessionalAspect	These guys took Customer Service 101 |from| a Neanderthal .
ewtb.r.245928.3:4	to	Beneficiary	They are especially rude |to| women .
ewtb.r.247097.10:4	about	Topic	What I like most |about| Dr. Liau is that she is very caring .
ewtb.r.247097.11:2	to	Recipient	She talks |to| you at each appointment .
ewtb.r.247097.11:4	at	Circumstance	She talks to you |at| each appointment .
ewtb.r.247097.14:9	in	Time	Now I feel more confident wearing my bathing suit |in| the summer .
ewtb.r.247097.1:6	at	ProfessionalAspect	Food Craving Gone and Weight Loss |at| Acupuncture Doctor
ewtb.r.247097.3:0	Before	RelativeTime	|Before| treatment , my food cravings were " out of control " which caused me to be stressed out .
ewtb.r.247097.3:8	out of control	State	Before treatment , my food cravings were " |out| |of| |control| " which caused me to be stressed out .
ewtb.r.247097.4:15	in	Patient	I experienced a Definite Decrease in food craving ( about 50 % ) and decrease |in| stress after the 1st treatment .
ewtb.r.247097.4:17	after	RelativeTime	I experienced a Definite Decrease in food craving ( about 50 % ) and decrease in stress |after| the 1st treatment .
ewtb.r.247097.4:5	in	Patient	I experienced a Definite Decrease |in| food craving ( about 50 % ) and decrease in stress after the 1st treatment .
ewtb.r.247097.4:9	about	Approximator	I experienced a Definite Decrease in food craving ( |about| 50 % ) and decrease in stress after the 1st treatment .
ewtb.r.247097.5:12	after	RelativeTime	I actually loss 4 pounds after my 1st treatment and 2 pounds |after| my 2nd treatment .
ewtb.r.247097.5:5	after	RelativeTime	I actually loss 4 pounds |after| my 1st treatment and 2 pounds after my 2nd treatment .
ewtb.r.247097.7:11	about	Approximator	I am now more at peace and my food craving is |about| 99 % gone after only 3 treatments .
ewtb.r.247097.7:15	after	RelativeTime	I am now more at peace and my food craving is about 99 % gone |after| only 3 treatments .
ewtb.r.247097.7:4	at peace	State	I am now more |at| |peace| and my food craving is about 99 % gone after only 3 treatments .
ewtb.r.247097.8:0	Before	RelativeTime	|Before| coming to Acupuncture DOCTOR I was a big baby about needles and only came because my boyfriend 's aunt recommended it .
ewtb.r.247097.8:10	about	Topic	Before coming to Acupuncture DOCTOR I was a big baby |about| needles and only came because my boyfriend 's aunt recommended it .
ewtb.r.247097.8:2	to	Destination	Before coming |to| Acupuncture DOCTOR I was a big baby about needles and only came because my boyfriend 's aunt recommended it .
ewtb.r.247097.9:6	more like	Comparison/Contrast	It hurt very little , felt |more| |like| pressure than pain .
ewtb.r.247097.9:9	than	Comparison/Contrast	It hurt very little , felt more like pressure |than| pain .
ewtb.r.247226.2:1	to	Destination	Went |to| the school here OVER PRICED !!!!!!
ewtb.r.247226.4:13	for	Purpose	You have to bring in your own models and they have to pay |for| you to use them if you do nt then you can graduate !
ewtb.r.247226.5:11	on	Theme	Going back after graduating you r told you get a discount |on| services nope you do nt .
ewtb.r.247226.5:2	after	RelativeTime	Going back |after| graduating you r told you get a discount on services nope you do nt .
ewtb.r.247226.7:14	about	Stimulus	Going there you learn the school does not care about the services given just |about| the money .
ewtb.r.247226.7:9	about	Stimulus	Going there you learn the school does not care |about| the services given just about the money .
ewtb.r.247226.8:2	for	Beneficiary	Over priced |for| students to learn !
ewtb.r.247226.9:1	of	Stimulus	Beware |of| the nail program you are not taught to use a nail drill AT ALL you learn the old fashioned way of doing nails you will not be able to do well in a salon !!!
ewtb.r.247226.9:14	AT ALL	Extent	Beware of the nail program you are not taught to use a nail drill |AT| |ALL| you learn the old fashioned way of doing nails you will not be able to do well in a salon !!!
ewtb.r.247226.9:22	of	Possessor	Beware of the nail program you are not taught to use a nail drill AT ALL you learn the old fashioned way |of| doing nails you will not be able to do well in a salon !!!
ewtb.r.247226.9:33	in	Location	Beware of the nail program you are not taught to use a nail drill AT ALL you learn the old fashioned way of doing nails you will not be able to do well |in| a salon !!!
ewtb.r.248027.1:4	on	Time	Tried Crust on Broad |on| 3 occasions .
ewtb.r.248027.2:1	for	Purpose	Twice |for| dinner and once for lunch Absolutely rude service every time !
ewtb.r.248027.2:5	for	Purpose	Twice for dinner and once |for| lunch Absolutely rude service every time !
ewtb.r.248027.3:8	for	Purpose	The staff will not even answer the phone |for| take out .
ewtb.r.248027.4:20	to	Purpose	Tonight , I called several times with no answer ( Btwn 5:30 and 6 pm ) and finally drove there |to| place my order in person .
ewtb.r.248027.4:24	in person	Manner	Tonight , I called several times with no answer ( Btwn 5:30 and 6 pm ) and finally drove there to place my order |in| |person| .
ewtb.r.248027.4:6	with	Circumstance	Tonight , I called several times |with| no answer ( Btwn 5:30 and 6 pm ) and finally drove there to place my order in person .
ewtb.r.248124.2:11	for	Duration	It is the real thing - I have been practicing Pilates |for| over 7 years and would not go anywhere else .
ewtb.r.248124.2:12	over	Approximator	It is the real thing - I have been practicing Pilates for |over| 7 years and would not go anywhere else .
ewtb.r.248124.3:13	at	ProfessionalAspect	It is the attention to detail and the quality of the work taught |at| TomiPilates that sets this studio apart from the others .
ewtb.r.248124.3:20	from	Comparison/Contrast	It is the attention to detail and the quality of the work taught at TomiPilates that sets this studio apart |from| the others .
ewtb.r.248124.3:9	of	Possessor	It is the attention to detail and the quality |of| the work taught at TomiPilates that sets this studio apart from the others .
ewtb.r.248124.4:12	of	Species	The teachers are highly trained and are expert at handling all types |of| clients .
ewtb.r.248124.4:8	at	Activity	The teachers are highly trained and are expert |at| handling all types of clients .
ewtb.r.248616.1:4	for	Purpose	Took a laptop in |for| a video cable to be replaced .
ewtb.r.248616.2:1	except	Elements	Everything |except| the display worked fine before I took it in .
ewtb.r.248616.2:6	before	RelativeTime	Everything except the display worked fine |before| I took it in .
ewtb.r.248616.4:15	than	Scalar/Rank	Phone calls were n't returned when promised and the botched repair took a week longer |than| promised .
ewtb.r.249123.2:11	with	Co-Agent	Employees seemed to be having a good time chatting and laughing |with| each other , while myself and other customers were completely ignored .
ewtb.r.249123.3:2	in	Location	Another person |in| the store stood there with an item and repeatedly tried to get a sales person s attention .
ewtb.r.249123.3:7	with	Attribute	Another person in the store stood there |with| an item and repeatedly tried to get a sales person s attention .
ewtb.r.249123.4:3	until	EndTime	It was n't |until| he gave up and walked out the door that someone asked Can I help you .
ewtb.r.249123.4:9	out	1DTrajectory	It was n't until he gave up and walked |out| the door that someone asked Can I help you .
ewtb.r.249889.2:5	to	Comparison/Contrast	great knowledge and prices compared |to| anyone in the industry .
ewtb.r.249889.2:7	in	Superset	great knowledge and prices compared to anyone |in| the industry .
ewtb.r.251475.3:0	In	Manner	|In| a few words ... I 'm pleasantly surprised that you can still find " old school " service out there where company care more about good name and customers than their pockets ...
ewtb.r.251475.3:19	out there	Location	In a few words ... I 'm pleasantly surprised that you can still find " old school " service |out| |there| where company care more about good name and customers than their pockets ...
ewtb.r.251475.3:25	about	Stimulus	In a few words ... I 'm pleasantly surprised that you can still find " old school " service out there where company care more |about| good name and customers than their pockets ...
ewtb.r.251475.3:30	than	Comparison/Contrast	In a few words ... I 'm pleasantly surprised that you can still find " old school " service out there where company care more about good name and customers |than| their pockets ...
ewtb.r.251755.2:13	in	Time	Susanna is the best dress maker / tailor I 've ever come across |in| my whole life !
ewtb.r.251755.4:13	of	Topic	She is always so busy , too , which is a good indication |of| her talent .
ewtb.r.251774.1:2	for	Reciprocation	Thank you |for| helping me get more healthy !
ewtb.r.251774.2:10	ago	DeicticTime	I came in and saw Dr. Ruona about a month |ago| for quitting smoking .
ewtb.r.251774.2:11	for	Purpose	I came in and saw Dr. Ruona about a month ago |for| quitting smoking .
ewtb.r.251774.2:7	about	Approximator	I came in and saw Dr. Ruona |about| a month ago for quitting smoking .
ewtb.r.251774.5:4	of	Possessor	I sent a customer |of| mine to you .
ewtb.r.251774.5:6	to	Destination	I sent a customer of mine |to| you .
ewtb.r.251774.6:10	for	Reciprocation	Dr. Ruona , if you read this , thank you |for| helping me get more healthy .
ewtb.r.251774.7:11	to	Beneficiary	I feel lighter and feel that I have more possibilities open |to| me now than I did before .
ewtb.r.251774.7:14	than	Scalar/Rank	I feel lighter and feel that I have more possibilities open to me now |than| I did before .
ewtb.r.251774.7:17	before	DeicticTime	I feel lighter and feel that I have more possibilities open to me now than I did |before| .
ewtb.r.252791.1:2	in stock	State	no feathers |in| |stock| !!!!
ewtb.r.252791.2:7	to	Destination	I was very upset when I went |to| Mother Plucker , they had NO FEATHERS and the quality is TERRIBLE .
ewtb.r.252791.3:4	in	Location	I had to dig |in| a bag to find one nice feather , what a joke !
ewtb.r.252791.3:7	to	Purpose	I had to dig in a bag |to| find one nice feather , what a joke !
ewtb.r.253807.1:2	in	Location	Cheapest drinks |in| Keene !
ewtb.r.254908.1:4	to	Purpose	I hired this company |to| unlock my car .
ewtb.r.254908.3:0	After	RelativeTime	|After| they showed up there was a little trouble to get my car unlocked , it took quite a bit of time but the job was well done .
ewtb.r.254908.3:20	of	Quantity	After they showed up there was a little trouble to get my car unlocked , it took quite a bit |of| time but the job was well done .
ewtb.r.255261.10:1	for	Beneficiary	Great |for| the kiddies - they love the labyrinth ( do n't forget to tell 'em it s really a ' pagen ' thing ! ) .
ewtb.r.255261.11:2	at least	Approximator	Stop by |at| |least| once or you 'll go to heck !
ewtb.r.255261.5:2	on	Time	Go there |on| christian holidays for a bit of churchy grandure .
ewtb.r.255261.5:5	for	Purpose	Go there on christian holidays |for| a bit of churchy grandure .
ewtb.r.255261.5:8	of	Quantity	Go there on christian holidays for a bit |of| churchy grandure .
ewtb.r.255261.6:11	after	RelativeTime	The pastor at this church is cool , I met him |after| some holiday service .
ewtb.r.255261.6:2	at	ProfessionalAspect	The pastor |at| this church is cool , I met him after some holiday service .
ewtb.r.255261.7:7	back	DeicticTime	He had a robe that was made |back| in the '60s .
ewtb.r.255261.7:8	in	Time	He had a robe that was made back |in| the '60s .
ewtb.r.255261.8:3	with	Stimulus	God was pleased |with| that one !
ewtb.r.255261.9:11	for	Purpose	It 's historical for Sf , so when your aunte comes |for| a visit , take her there .
ewtb.r.255261.9:3	for	Scalar/Rank	It 's historical |for| Sf , so when your aunte comes for a visit , take her there .
ewtb.r.255736.1:7	at	Location	Remember seeing " Stop Making Sense " |at| Cinema 21 multiple times !
ewtb.r.256677.4:7	of	Whole	I know now where to get all |of| my wine and beer .
ewtb.r.256677.5:4	to	Destination	No need to go |to| a grocer again .
ewtb.r.257296.2:8	at first	Time	HCC 's new nine was a little shaky |at| |first| , but the NEW grounds superintendant has done wonders for the course !!
ewtb.r.257296.3:2	below	Locus	The comment |below| definitely needs to be retracted !
ewtb.r.257296.4:1	back	Direction	Come |back| and give HCC a second chance at least !
ewtb.r.257296.4:8	at least	Extent	Come back and give HCC a second chance |at| |least| !
ewtb.r.257296.5:11	of	Stimulus	It is a great course for local golfers to be proud |of| and all the comments in 2008 have been very positive !!
ewtb.r.257296.5:16	in	Time	It is a great course for local golfers to be proud of and all the comments |in| 2008 have been very positive !!
ewtb.r.257735.1:5	on	Theme	Do n't waste your money |on| the jukebox
ewtb.r.257735.2:11	behind	Location	The bartender is a douchebag and he has a little console |behind| the bar where he can delete songs he does n't like , and you end up paying for it .
ewtb.r.257735.2:29	for	Theme	The bartender is a douchebag and he has a little console behind the bar where he can delete songs he does n't like , and you end up paying |for| it .
ewtb.r.260640.2:10	in	Time	I had a conversation with the woman running this place |in| April 2010 .
ewtb.r.260640.2:4	with	Co-Agent	I had a conversation |with| the woman running this place in April 2010 .
ewtb.r.260640.3:13	to	Purpose	She basically said if the children getting off the bus are n't paying |to| enter her building she was going to let them wander around the streets .
ewtb.r.260640.3:24	around	2DArea	She basically said if the children getting off the bus are n't paying to enter her building she was going to let them wander |around| the streets .
ewtb.r.260640.3:7	off	InitialLocation	She basically said if the children getting |off| the bus are n't paying to enter her building she was going to let them wander around the streets .
ewtb.r.260640.5:0	With	Circumstance	|With| all the child predators out there , a busy road , cars speeding by ...... and you are going to let some 4 / 5 year olds wonder around cause you 're money hungry ?
ewtb.r.260640.5:14	by	1DTrajectory	With all the child predators out there , a busy road , cars speeding |by| ...... and you are going to let some 4 / 5 year olds wonder around cause you 're money hungry ?
ewtb.r.260640.5:29	around	2DArea	With all the child predators out there , a busy road , cars speeding by ...... and you are going to let some 4 / 5 year olds wonder |around| cause you 're money hungry ?
ewtb.r.260640.5:5	out there	Location	With all the child predators |out| |there| , a busy road , cars speeding by ...... and you are going to let some 4 / 5 year olds wonder around cause you 're money hungry ?
ewtb.r.260640.6:2	OF	Possessor	REAL CHRISTIAN |OF| YOU !!!!!!!!!!!!!!!!!!
ewtb.r.260640.7:16	in	State	Whether they pay me or not , if their parents get into an accident , stuck |in| traffic , etc. THE LAST THING I WOULD DO IS LET A CHILD GET RAPED BECAUSE I WAS N'T PAID .
ewtb.r.262422.3:6	about	Approximator	Jason and the boys can do |about| anything you need .
ewtb.r.262422.4:5	off	InitialLocation	The shop is located just |off| the river road .
ewtb.r.262441.1:17	in the end	Time	I phoned this company for advice on our office refurb and although we did not use them |in| |the| |end| ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor .
ewtb.r.262441.1:21	as	Explanation	I phoned this company for advice on our office refurb and although we did not use them in the end ( |as| our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor .
ewtb.r.262441.1:35	with	Theme	I phoned this company for advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me |with| plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor .
ewtb.r.262441.1:37	of	Quantity	I phoned this company for advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty |of| useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor .
ewtb.r.262441.1:4	for	Purpose	I phoned this company |for| advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor .
ewtb.r.262441.1:40	over	Duration	I phoned this company for advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information |over| an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor .
ewtb.r.262441.1:52	as	Attribute	I phoned this company for advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC |as| our electrical maintenance contractor .
ewtb.r.262441.1:6	on	Topic	I phoned this company for advice |on| our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor .
ewtb.r.262722.8:3	over	Scalar/Rank	Choose this hotel |over| the Hilton ( which is on the next block ) .
ewtb.r.262722.8:9	on	Location	Choose this hotel over the Hilton ( which is |on| the next block ) .
ewtb.r.263630.3:10	of	Whole	My boyfriend and I were woken up in the middle |of| the night at our campsite by drunken kids who 'd arrived around 1:00 am and were drinking at the springs .
ewtb.r.263630.3:13	at	Location	My boyfriend and I were woken up in the middle of the night |at| our campsite by drunken kids who 'd arrived around 1:00 am and were drinking at the springs .
ewtb.r.263630.3:16	by	Agent	My boyfriend and I were woken up in the middle of the night at our campsite |by| drunken kids who 'd arrived around 1:00 am and were drinking at the springs .
ewtb.r.263630.3:22	around	Approximator	My boyfriend and I were woken up in the middle of the night at our campsite by drunken kids who 'd arrived |around| 1:00 am and were drinking at the springs .
ewtb.r.263630.3:28	at	Location	My boyfriend and I were woken up in the middle of the night at our campsite by drunken kids who 'd arrived around 1:00 am and were drinking |at| the springs .
ewtb.r.263630.3:7	in	Time	My boyfriend and I were woken up |in| the middle of the night at our campsite by drunken kids who 'd arrived around 1:00 am and were drinking at the springs .
ewtb.r.263630.4:3	to	Recipient	When we complained |to| the management ( as we were instructed to do if there were any problems ) , nothing happened !
ewtb.r.263630.4:7	as	Circumstance	When we complained to the management ( |as| we were instructed to do if there were any problems ) , nothing happened !
ewtb.r.263630.5:18	to	Recipient	Then , the next morning , when we , among many other irate guests , asked to speak |to| the owner , he refused to do so .
ewtb.r.263630.5:9	among	Superset	Then , the next morning , when we , |among| many other irate guests , asked to speak to the owner , he refused to do so .
ewtb.r.263630.6:24	in	Time	Not only that , but he told us , via his manager , that it was our responsibility to get up a second time |in| the middle of the night and call the night staff if the problem continued , even though his manager did nothing the first time to stop the kids .
ewtb.r.263630.6:27	of	Whole	Not only that , but he told us , via his manager , that it was our responsibility to get up a second time in the middle |of| the night and call the night staff if the problem continued , even though his manager did nothing the first time to stop the kids .
ewtb.r.263630.6:49	to	Purpose	Not only that , but he told us , via his manager , that it was our responsibility to get up a second time in the middle of the night and call the night staff if the problem continued , even though his manager did nothing the first time |to| stop the kids .
ewtb.r.263630.6:9	via	Via	Not only that , but he told us , |via| his manager , that it was our responsibility to get up a second time in the middle of the night and call the night staff if the problem continued , even though his manager did nothing the first time to stop the kids .
ewtb.r.263830.2:8	to	Function	They are very good teachers and nice people |to| meet here .
ewtb.r.263830.4:3	to	Function	A good place |to| improve your English
ewtb.r.263870.2:5	in	Location	This is THE premier university |in| Virginia .
ewtb.r.263870.4:0	With	Circumstance	|With| a Pizza Hut , IHOP , 3 Starbucks , Chili s , Panera , and Chipotle on campus ALONE , VCU has some of the best eating options for students .
ewtb.r.263870.4:17	on campus	Location	With a Pizza Hut , IHOP , 3 Starbucks , Chili s , Panera , and Chipotle |on| |campus| ALONE , VCU has some of the best eating options for students .
ewtb.r.263870.4:24	of	Superset	With a Pizza Hut , IHOP , 3 Starbucks , Chili s , Panera , and Chipotle on campus ALONE , VCU has some |of| the best eating options for students .
