,,P,lemma,v2 Scene Role,v2 Prep Function,
ewtb.r.333243.2:5,@ablodgett,my,my,Experiencer,Possessor,"Working with Rod Jacobsen was |my| first experience working with a CPA , so I did not know what to expect ."
ewtb.r.333243.4:7,@ablodgett,my,my,Agent,Possessor,"However , then I asked to amend |my| return to apply a credit I had just become eligible for ."
ewtb.r.333243.5:10,@ablodgett,my,my,Experiencer,Possessor,"I expected to pay for this service , but imagine |my| surprise when I received a bill for MORE than what I paid to have the original return prepared ."
ewtb.r.333243.9:36,@ablodgett,my,my,Experiencer,Possessor,"However , now that I have come to realize that I am going to owe the IRS $ 6,000 + despite doing exactly what Rod told me to do , I feel I have to voice |my| opinion ."
ewtb.r.333672.6:16,@ablodgett,my,my,Gestalt,Possessor,They tried to run my credit score as less as possible so it wo n't hurt |my| score .
ewtb.r.333672.6:4,@ablodgett,my,my,Gestalt,Possessor,They tried to run |my| credit score as less as possible so it wo n't hurt my score .
ewtb.r.333672.7:11,@ablodgett,my,my,Agent,Possessor,"Overall , I was very happy with the customer service and |my| purchase ."
ewtb.r.335225.2:1,@ablodgett,my,my,Possessor,Possessor,"After |my| trees were cleaned up , they gave me a jar of salsa ."
ewtb.r.337971.2:7,@ablodgett,my,my,OrgRole,Possessor,"Fresh Design Studio helped jump - start |my| own business by providing affordable and effective marketing materials : logo , flyers , posters ad design , and more ."
ewtb.r.338429.14:0,@ablodgett,My,my,Possessor,Possessor,|My| apartment was usually quiet .
ewtb.r.338429.2:2,@ablodgett,my,my,SocialRel,Possessor,Myself and |my| fiance 's identity was stolen from the office staff .
ewtb.r.339176.6:10,@ablodgett,my,my,Possessor,Possessor,The owner is a pleasant guy and I would trust |my| car with him or any of his workers .
ewtb.r.341397.2:2,@ablodgett,my,my,Possessor,Possessor,they fixed |my| garage doors in literally less than an hour .
ewtb.r.341397.4:9,@ablodgett,my,my,Possessor,Possessor,i could n't be more happier with the way |my| garage looks .
ewtb.r.342807.3:23,@ablodgett,my,my,OrgRole,Possessor,"So huge in fact , that Toronto slang is influenced by and has Jamaican references , and Jamaican beef patties are staples in |my| high school cafeteria ."
ewtb.r.345182.8:15,@ablodgett,my,my,Possessor,Possessor,I took the receipt and the metal that did not fit and asked Pomper for |my| money back .
ewtb.r.345455.2:0,@ablodgett,My,my,SocialRel,Possessor,|My| daughter is starting ballet this year for the first time .
ewtb.r.345455.4:13,@ablodgett,my,my,SocialRel,Possessor,The staff was very helpful and gave me exactly what I needed for |my| first time ballerina .
ewtb.r.346074.1:6,@ablodgett,my,my,Possessor,Possessor,Did a great job of removing |my| tree in Conyers .
ewtb.r.346563.5:0,@ablodgett,My,my,Recipient,Possessor,|My| results were just AWFUL .
ewtb.r.346563.6:0,@ablodgett,My,my,Patient,Possessor,|My| post-op treatment was TERRIBLE .
ewtb.r.346960.2:7,@ablodgett,my,my,Possessor,Possessor,They went the extra mile to repair |my| cowboy boots -- they had to have a special kind of paper that looked like wood grain to fix the heels .
ewtb.r.348247.7:3,@ablodgett,my,my,Beneficiary,Possessor,"They have been |my| only "" go - to "" resource since we first did business together ."
ewtb.r.348369.2:1,@ablodgett,my,my,Possessor,Possessor,Yes |my| G 1 screen is back working .
ewtb.r.348369.6:5,@ablodgett,my,my,Possessor,Possessor,Tmobile want to Send of |my| phone and i did n't want to go thru that ...
ewtb.r.349020.11:1,@ablodgett,my,my,Originator,Possessor,So |my| advice is that NEVER TRUST THIS DEALER .
ewtb.r.351058.3:26,@ablodgett,my,my,Originator,Possessor,"the food was horrible not cooked like it should be , they got the order wrong on a number of occasions , and once forgot about |my| order ."
ewtb.r.351058.4:22,@ablodgett,my,my,Possessor,Possessor,"i had to call back up there two hours later and the lady ( who claimed to be a manager ) said |my| food was on the way , and she did nt offer to compensate me in any kind of way ."
ewtb.r.351058.5:7,@ablodgett,my,my,Possessor,Possessor,i waited another 30 mins before receiving |my| food and it was cold .
ewtb.r.353684.1:0,@ablodgett,My,my,Experiencer,Possessor,|My| favorite place to eat .
ewtb.r.353891.3:0,@ablodgett,My,my,Whole,Possessor,|My| nails looked great for the better part of 2 weeks !
ewtb.r.354860.2:8,@ablodgett,my,my,Possessor,Possessor,"From first meeting with them to launch of |my| website , everything went smooth and on schedule ."
ewtb.r.355325.1:0,@ablodgett,My,my,Experiencer,Possessor,|My| favorite florist !
ewtb.r.355325.2:11,@ablodgett,my,my,SocialRel,Possessor,"I came to La Crosse to go to college , and |my| mom would send me birthday flowers though here ."
ewtb.r.355325.4:8,@ablodgett,my,my,Experiencer,Possessor,"Now that I live here , this is |my| favorite place to grab flowers for friends and coworkers !"
ewtb.r.359014.4:3,@ablodgett,my,my,Possessor,Possessor,The work on |my| car was done quickly and I felt I could trust his work .
ewtb.r.360698.2:1,@ablodgett,my,my,SocialRel,Possessor,"But |my| wife and I first went there thinking it would be Brazilian food ( think lots of meat ) , but it turned out to be a vegan restaurant !"
ewtb.r.360698.3:10,@ablodgett,my,my,Experiencer,Possessor,"And , I can say , this was one of |my| favorite places to eat in all of Richmond ."
ewtb.r.360937.5:1,@ablodgett,my,my,Possessor,Possessor,"After |my| sampler & sandwich , I asked for a pint of there Nitrogen Love Stout , I must say I was impressed , with the great taste & I am a Guiness Lover so coming from me , I think this is better , it s less dry & smoother !"
ewtb.r.361316.1:3,@ablodgett,My,my,Possessor,Possessor,best quote ever |My| gate was stuck halfway open so I called A CLASS Garage Doors Dr Services .
ewtb.r.361316.2:3,@ablodgett,my,my,Possessor,Possessor,They came to |my| house in no time and started working on the gate .
ewtb.r.361316.4:8,@ablodgett,my,my,Originator,Possessor,Once they fixed it they answetred all of |my| questions with no hesitations and then gave me the best quote ever .
ewtb.r.361316.5:4,@ablodgett,my,my,Possessor,Possessor,"I know that if |my| garage door needs to be repaired , I will be calling A CLASS Garage Doors"
ewtb.r.361545.5:9,@ablodgett,my,my,Agent,Possessor,The cost was certainly reasonable and I will continue |my| patronage of The Laundry Tub in the future .
ewtb.r.361545.6:10,@ablodgett,my,my,Agent,Possessor,Did n't hurt any that they knew my name by |my| second visit and greeted me warmly then and on my third visit .
ewtb.r.361545.6:20,@ablodgett,my,my,Agent,Possessor,Did n't hurt any that they knew my name by my second visit and greeted me warmly then and on |my| third visit .
ewtb.r.361545.6:7,@ablodgett,my,my,Gestalt,Possessor,Did n't hurt any that they knew |my| name by my second visit and greeted me warmly then and on my third visit .
ewtb.r.361545.7:1,@ablodgett,my,my,Originator,Possessor,"Whereas |my| answer to the question "" Where do you get your laundry done ? "" used to be , "" At the checkout line at WalMart , "" I can honestly say the answer now is , "" At The Laundry Tub . """
ewtb.r.364454.4:3,@ablodgett,my,my,SocialRel,Possessor,"Not only were |my| wife and I very pleased , but I also had the air duct quality tested professionally by the home inspector that I regularly use , before and after United Air Duct performed their work ."
ewtb.r.365154.10:9,@ablodgett,my,my,Possessor,Possessor,I will be carefully researching vets before I take |my| dog someplace else .
ewtb.r.365154.4:8,@ablodgett,my,my,Agent,Possessor,"After the way she spoke to me on |my| last visit , I will not be returning !!"
ewtb.r.365630.2:19,@ablodgett,my,my,Possessor,Possessor,"I would rate Fran pcs an A + because the price was lower than everyone else , i got |my| computer back the next day , and the professionalism he showed was great ."
ewtb.r.365630.3:10,@ablodgett,my,my,Possessor,Possessor,"He took the time to explain things to me about |my| computer , i would recommend you go to him ."
ewtb.r.366586.2:0,@ablodgett,My,my,SocialRel,Possessor,|My| husband and I happened in on a whim .
ewtb.r.366586.5:0,@ablodgett,My,my,SocialRel,Possessor,"|My| husband has been a professional chef , so he is a good judge of quality food ."
ewtb.r.368431.1:4,@ablodgett,my,my,Experiencer,Possessor,Ray 's pizza : |my| favorite
ewtb.r.369087.3:0,@ablodgett,My,my,Possessor,Possessor,|My| car broke down and roadside towed my vehicle to Sussman Kia .
ewtb.r.369087.3:7,@ablodgett,my,my,Possessor,Possessor,My car broke down and roadside towed |my| vehicle to Sussman Kia .
ewtb.r.369087.6:14,@ablodgett,my,my,Possessor,Possessor,The service department even gave me a ride home and picked me up when |my| car was finished .
ewtb.r.369087.7:13,@ablodgett,my,my,Possessor,Possessor,The advisor kept me up to date and informed on the progress of |my| vehicle .
ewtb.r.369087.9:5,@ablodgett,my,my,Possessor,Possessor,I will definitely be bringing |my| car back for service .
ewtb.r.371300.5:5,@ablodgett,my,my,Possessor,Possessor,I was told to take |my| coffee to go if I wanted to finish it .
ewtb.r.371492.5:4,@ablodgett,my,my,SocialRel,Possessor,I will definitely refer |my| friends and family :)
ewtb.r.372665.3:7,@ablodgett,my,my,Possessor,Possessor,Glad I called before I arrived with |my| box to ship .
ewtb.r.376320.11:2,@ablodgett,my,my,Originator,Possessor,Please pass |my| appreciation to the Staff and Management for their excellent hospitality and good spirits as it helped make a stressful trip enjoyable .
ewtb.r.376320.5:21,@ablodgett,my,my,Agent,Possessor,I was very pleased to find my accommodations and the hotel staff to be a very calming and comforting part of |my| trip .
ewtb.r.376320.5:6,@ablodgett,my,my,Beneficiary,Possessor,I was very pleased to find |my| accommodations and the hotel staff to be a very calming and comforting part of my trip .
ewtb.r.376320.7:1,@ablodgett,my,my,Experiencer,Possessor,From |my| first encounter at check in to my regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.376320.7:20,@ablodgett,my,my,Experiencer,Possessor,From my first encounter at check in to my regrettable check out I found the staff and facility to exceed |my| expectation .
ewtb.r.376320.7:8,@ablodgett,my,my,Agent,Possessor,From my first encounter at check in to |my| regrettable check out I found the staff and facility to exceed my expectation .
ewtb.r.376320.8:3,@ablodgett,my,my,Agent,Possessor,I completely enjoyed |my| whole check in experience and was impressed with the friendliness and professionalism of the staff as well as the accommodations themselves .
ewtb.r.376320.9:22,@ablodgett,my,my,Agent,Possessor,I will be traveling in this area in the future and you can be assured that this experience will be helpful in |my| choice of hotels and Novotel will be my first selection .
ewtb.r.376320.9:30,@ablodgett,my,my,Agent,Possessor,I will be traveling in this area in the future and you can be assured that this experience will be helpful in my choice of hotels and Novotel will be |my| first selection .
ewtb.r.376503.5:5,@ablodgett,my,my,Whole,Possessor,I 'm glad I trusted |my| gut and did n't get sucked into doing business with them .
ewtb.r.377347.2:0,@ablodgett,My,my,Agent,Possessor,|My| first visit was so fun yesterday .
ewtb.r.382073.8:13,@ablodgett,my,my,Possessor,Possessor,It's durability & look was perfect and I will definitely be adding to |my| collection soon !
ewtb.r.382257.6:7,@ablodgett,my,my,Experiencer,Possessor,Both were excellent sales men who put |my| needs first .
ewtb.r.384229.2:7,@ablodgett,my,my,Beneficiary,Possessor,I was with verizon and I checked |my| service with tmobile and it was great so I thought I would try tmobile .
ewtb.r.385281.2:40,@ablodgett,my,my,Whole,Possessor,"I 'm 22 , and my hairdresser was great ( and not "" old "" like one of the reviews says ) - she really listened to what I wanted and gave me tons of tips on how to style |my| hair so I could get it to look the way I wanted it to ."
ewtb.r.385281.2:5,@ablodgett,my,my,SocialRel,Possessor,"I 'm 22 , and |my| hairdresser was great ( and not "" old "" like one of the reviews says ) - she really listened to what I wanted and gave me tons of tips on how to style my hair so I could get it to look the way I wanted it to ."
ewtb.r.385281.3:3,@ablodgett,my,my,Whole,Possessor,She deep conditioned |my| hair and took the time to style it properly .
ewtb.r.385281.6:11,@ablodgett,my,my,Patient,Possessor,I would highly recommend it and will be going back for |my| next haircut .
ewtb.r.388799.2:0,@ablodgett,My,my,SocialRel,Possessor,"|My| girlfriend and I ate at The Grill last night , and our experience was amazing ."
ewtb.r.389298.4:6,@ablodgett,my,my,SocialRel,Possessor,I highly recommend Garage Pros to |my| friends .
ewtb.r.389498.1:15,@ablodgett,my,my,Possessor,Possessor,This place has done a great job of taking care of the usual maintenance on |my| hooptie .
ewtb.r.389498.3:36,@ablodgett,my,my,Possessor,Possessor,Today I went into Kwik Kar and there were two cars in front of me for inspection ... but I was still out of there pretty quick ... barely had time to read a chapter in |my| book .
ewtb.r.392826.3:0,@ablodgett,My,my,Possessor,Possessor,|My| fries were n't fully cooked last time I went there .
ewtb.r.396874.1:1,@ablodgett,my,my,Gestalt,Possessor,Restored |my| faith in Mechaincs .
ewtb.r.396874.2:12,@ablodgett,my,my,Possessor,Possessor,I spent 3 months going from shop to shop trying to get |my| Ferrari to run and drive the way it should .
ewtb.r.396874.4:7,@ablodgett,my,my,Possessor,Possessor,They took on the challenge of making |my| Ferrari all I dreamed of and more .
ewtb.r.396874.7:3,@ablodgett,my,my,Gestalt,Possessor,They have restored |my| faith in Mechanics .
ewtb.r.396880.2:10,@ablodgett,my,my,SocialRel,Possessor,"I tried to stay here for a few nights with |my| girlfriend , so we asked for a single queen bed ."
ewtb.r.397066.2:16,@ablodgett,my,my,Possessor,Possessor,I have used Just Like Family several times now and they have provided great care for |my| two dogs .
ewtb.r.398152.2:2,@ablodgett,my,my,Possessor,Possessor,I brought |my| car in for a simple emissions test .
ewtb.r.398152.3:15,@ablodgett,my,my,Possessor,Possessor,"I guess they figured me for an easy mark , and tried to explain that |my| car would n't pass unless I replaced a hose ."
ewtb.r.398152.4:6,@ablodgett,my,my,Possessor,Possessor,"Ten minutes later , I took |my| car down the street and it passed the emissions test with flying colors ."
ewtb.r.398243.11:2,@ablodgett,my,my,SocialRel,Possessor,He is |my| mechanic going forward !
ewtb.r.398243.2:6,@ablodgett,my,my,Possessor,Possessor,"I typically have work done on |my| Jeep at the dealership , but it is 6 years old now and getting charged dealership prices just did n't seem cost effective anymore ."
ewtb.r.398243.8:15,@ablodgett,my,my,Possessor,Possessor,"Also , a week after the work , Phet called me up to see how |my| car was running and to let me know that they had accidentally overcharged me for part of the work and wanted to give me a refund for that amount ."
ewtb.r.194316.6:8,@ablodgett,near,,?Location,,I just discovered her has a place right |near| my work ( Color me Phat ) If you are looking for a romatic place with the best food and service in the valley Giovanni Ristorante should be your number 1 + 2 choice .
ewtb.r.190256.6:3,@ablodgett,nothing but,,Elements,,We have had |nothing| |but| compliments on our bathroom when guest come over - who would have guessed that one ?
ewtb.r.008585.2:23,@ablodgett,of,,Whole,,I was recently traveling down I - 24 from Nashville with my 3 young children and had a blowout on the southeast side |of| Murfreesboro .
ewtb.r.008585.7:4,@ablodgett,of,,Quantity,,Thanks Bud for all |of| your help and taking time away from your family that evening .
ewtb.r.012047.3:13,@ablodgett,of,,Whole,,These guys know what they 're doing and helped me in all phases |of| our project .
ewtb.r.014764.3:6,@ablodgett,of,,Superset,,Many thanks from myself and all |of| our wedding guests !
ewtb.r.026883.15:6,@ablodgett,of,,OrgRole,,I hope the owners and employees |of| this store have broken bedroom suites in their homes and furniture sitting in someone 's warehouse .
ewtb.r.026883.3:9,@ablodgett,of,,Attribute,,My experience with Home Delivery Service has been one |of| disappointment and anger .
ewtb.r.030875.3:6,@ablodgett,of,,Whole,,"Their location , the northwest corner |of| S. 10th & Federal Sts. , is now home to Slice Pizza ."
ewtb.r.031113.4:6,@ablodgett,of,,Superset,,Their BBQ chicken pizza is one |of| the better ones I have ever had .
ewtb.r.034501.3:8,@ablodgett,of,,Possessor,,It is right on the hustle and bustle |of| Wisconsin Ave but some might miss it as it is nestled in between Subway Sandwiches and Modell 's .
ewtb.r.035726.2:13,@ablodgett,of,,Possessor,,Dr. Aster and her team have been a strong advocate in the health |of| both my daughters .
ewtb.r.036133.12:15,@ablodgett,of,,Theme,,"I had paid in cash , and he said he had no receipt / record |of| my purchase ."
ewtb.r.036133.6:8,@ablodgett,of,,Superset,,Well they came through and delivered almost all |of| my items within a few days .
ewtb.r.036753.9:34,@ablodgett,of,,Quantity,,"From a moral standpoint , you guys are really gon na take 2,000 bucks from someone that needs that truck to work and support his family when you know it s just a piece |of| scrap metal ?"
ewtb.r.042530.2:10,@ablodgett,of,,Superset,,"I live in the neighborhood and this place is one |of| my favorites for a tasty , quick and inexpensive meal ."
ewtb.r.043020.5:6,@ablodgett,of,,Superset,,Within a week we noticed one |of| the boards on our gate splitting where a nail had gone in .
ewtb.r.043020.9:34,@ablodgett,of,,Whole,,"I just called again and was told that workmanship , not wood , is guaranteed for a year - well in my opinion - the wood split due to a nail which is part |of| workmanship !"
ewtb.r.048363.8:15,@ablodgett,of,,Topic,,"Five minutes before my initial lesson , I got a call from Gerry advising me |of| his arrival and to come down as soon as I was ready ."
ewtb.r.053248.18:21,@ablodgett,of,,Theme,,"Service was average , but nothing special , and restaurants that are supposed to be excellent should do a better job |of| training their waitstaff to be communicative and friendly , not merely capable ."
ewtb.r.053248.9:14,@ablodgett,of,,Quantity,,"Then again , for the three of us who dined together , two pieces |of| flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces of flatbread did represent a three - person order ) ."
ewtb.r.053248.9:36,@ablodgett,of,,Quantity,,"Then again , for the three of us who dined together , two pieces of flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces |of| flatbread did represent a three - person order ) ."
ewtb.r.053248.9:6,@ablodgett,of,,Superset,,"Then again , for the three |of| us who dined together , two pieces of flatbread left us fighting for more , and licking the hummus from our fingers ( and yes , those two pieces of flatbread did represent a three - person order ) ."
ewtb.r.054269.2:20,@ablodgett,of,,Value,,"Compact 's Corona dryers remove at least twice as much water as the previous dryers , allowing a production increase |of| over 10 % and a significant energy saving ."
ewtb.r.055976.7:11,@ablodgett,of,,Species,,Sometimes it is not worth it to go through that kind |of| staff and their personal attitude to get to a doctor .
ewtb.r.062167.4:10,@ablodgett,of,,Superset,,I found her through a colleague one day when one |of| my clients was in the midst of a panic attack and needed professional help that I am not qualified to provide .
ewtb.r.063347.5:5,@ablodgett,of,,Quantity,,"This is a busy group |of| hosts they are also running a restaurant , which also must be wonderful - so just ask for what you need , and I 'm sure they will do their best to be hospitable ."
ewtb.r.063754.2:8,@ablodgett,of,,Whole,,He worked on it right on the back |of| my car .
ewtb.r.063963.3:15,@ablodgett,of,,Whole,,"Even taking into account the fact that my 3 year old wanted to run most |of| the way round , it took us just over one hour start to finish ."
ewtb.r.068009.3:22,@ablodgett,of,,Whole,,"As a qualified criminal defense attorney , he will work every possible legal "" angle "" ( leaving no stone unturned ) |of| your case to achieve the most favorable result possible ."
ewtb.r.068436.3:4,@ablodgett,of,,Possessor,,"This is a shame |of| my adorable town , Branford ."
ewtb.r.071650.8:33,@ablodgett,of,,Instance,,"The owner was VERY rude , accused me of not reading my contract , and basically told me to shut up when I was trying to ask questions to further understand the process |of| canceling my membership ."
ewtb.r.071650.8:8,@ablodgett,of,,Topic,,"The owner was VERY rude , accused me |of| not reading my contract , and basically told me to shut up when I was trying to ask questions to further understand the process of canceling my membership ."
ewtb.r.072507.2:20,@ablodgett,of,,Possessor,,"Also , he loves teaching so much , his price is unbeatable , but that does not change his level |of| skill ."
ewtb.r.080221.4:1,@ablodgett,of,,Superset,,Each |of| you should be proud of your massive contributions throughout the year !
ewtb.r.080221.4:6,@ablodgett,of,,Stimulus,,Each of you should be proud |of| your massive contributions throughout the year !
ewtb.r.081934.2:10,@ablodgett,of,,?Superset,,"I am not a client of liquidweb.com , but one |of| my friend called Steven is the client having several websites ."
ewtb.r.081934.2:5,@ablodgett,of,,Possessor,,"I am not a client |of| liquidweb.com , but one of my friend called Steven is the client having several websites ."
ewtb.r.085009.2:11,@ablodgett,of,,Attribute,,MFJ Inc transformed our run down back yard into a place |of| beauty .
ewtb.r.085424.3:5,@ablodgett,of,,Superset,,I have had all three |of| my children attend Lake Forest Tots .
ewtb.r.090136.6:5,@ablodgett,of,,Quantity,,I 've dined at lots |of| high - end restaurants and I 've never before felt my money was so well spent .
ewtb.r.090643.5:10,@ablodgett,of,,Quantity,,Thanks for doing such great work on my important pieces |of| clothing that always look great !
ewtb.r.091704.6:1,@ablodgett,of,,Whole,,All |of| this started after their oil change .
ewtb.r.094621.1:11,@ablodgett,of,,Superset,,"Disatisfied customer , I went through Kitchen Aid and used one |of| their recommended vendors ."
ewtb.r.094621.5:8,@ablodgett,of,,Possessor,,Their quote came in at half the price |of| A&E for the same work and same part .
ewtb.r.094621.7:19,@ablodgett,of,,Possessor,,"Very disappointed in Kitchen Aid as well , I thought that they pre-screened their vendors for price and quality |of| work , obviously they do not !"
ewtb.r.095040.4:3,@ablodgett,of,,Topic,,"Stephanie 's knowledge |of| the market and properties in our price range , made us feel secure in our decision to buy when we did ."
ewtb.r.101398.3:4,@ablodgett,of,,Elements,,We were a party |of| 4 and none of us were particularly pleased with our dishes .
ewtb.r.101398.3:8,@ablodgett,of,,Superset,,We were a party of 4 and none |of| us were particularly pleased with our dishes .
ewtb.r.101398.4:10,@ablodgett,of,,Theme,,Napa is all about wine but gives very short descriptions |of| the wines on their lists .
ewtb.r.101398.6:6,@ablodgett,of,,Quantity,,If you must go ask lots |of| questions about your selections since your expectations may as high as mine were .
ewtb.r.101972.6:15,@ablodgett,of,,Quantity,,"However , we waited and waited and in the mean time , saw 4 groups |of| people simply just paraded in without signing there names ."
ewtb.r.107608.3:24,@ablodgett,of,,Quantity,,"The team who work there are helpfull , friendly and extremely knowledgeable and will help you as much as they can with thier years |of| hands on practice ."
ewtb.r.107692.6:18,@ablodgett,of,,Topic,,"The staff taking your order and "" waiting "" on you are very indifferent and have no sense |of| costumer service at all ."
ewtb.r.112579.7:9,@ablodgett,of,,Theme,,"They have a great lunch special with your choice |of| meat , chicken , steak , or pork and rice and black beans and fried plantains ."
ewtb.r.114849.1:32,@ablodgett,of,,Theme,,"Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed to confirm details ) and the subsequent delivery |of| my gift ( To Split , Croatia ) was as requested ."
ewtb.r.117115.11:5,@ablodgett,of,,Superset,,Their worker even cleaned 3 |of| my windows and changed a lightbulb for me .
ewtb.r.117115.2:7,@ablodgett,of,,Superset,,I had Hom - Excel replace most |of| the windows in my Tampa residence three years ago .
ewtb.r.117115.4:12,@ablodgett,of,,Whole,,"Three weeks ago , burglars tried to gain entry into the rear |of| my home ."
ewtb.r.119026.1:49,@ablodgett,of,,?Instance,,"Anna Marie and Govind are very sweet people , and the minute you steep into their school , the calm loving atmosphere takes over , and tension and worries stay outside in the street , whether or not you pick them up again after class is probably a question |of| practice ."
ewtb.r.121651.7:7,@ablodgett,of,,Superset,,We have already recommended you to some |of| our friends !
ewtb.r.121987.5:9,@ablodgett,of,,Whole,,"The only problem that I had in 2 years |of| living there was that the walls are pretty thin , sometimes I could here my neighbors conversations ."
ewtb.r.122270.6:16,@ablodgett,of,,Stimulus,,"My dental surgeon , Dr. Lucy Nichols is clearly a dental perfectionist and clearly proud both |of| the work she does and the reputation she has established ."
ewtb.r.122882.2:5,@ablodgett,of,,Superset,,"Buddakan inevitably attracts the majority |of| its guests simply because of its association with Steven Starr , but that does n't impress me ."
ewtb.r.124163.5:23,@ablodgett,of,,Possessor,,"In addition to the core treatment , Dr Nelson has impressed me further with his concern and interest in the well - being |of| his patients - his dental work underpinned by a strong duty of care to every patient ."
ewtb.r.124163.5:35,@ablodgett,of,,?Instance,,"In addition to the core treatment , Dr Nelson has impressed me further with his concern and interest in the well - being of his patients - his dental work underpinned by a strong duty |of| care to every patient ."
ewtb.r.128168.11:1,@ablodgett,of,,Superset,,"None |of| us will be using their services again , which is a shame ."
ewtb.r.131458.2:7,@ablodgett,of,,OrgRole,,I have been a friend and customer |of| Signs of Saltford for well over 12 years now and I also became their website supplier some 3 years ago .
ewtb.r.131458.3:5,@ablodgett,of,,Possessor,,Tina is the driving force |of| the business and you can be assured that she will endevour to satisfy all your signage requirements at the most cost effective rates .
ewtb.r.133981.8:3,@ablodgett,of,,Stimulus,,Our unit reeks |of| old cigarette smoke and it started to become apparent a few weeks after we moved in .
ewtb.r.148971.14:14,@ablodgett,of,,Theme,,"I , along with my friends , consider this doctor to be the cause |of| my death as he is not even trying to save my life by operating ."
ewtb.r.148971.2:7,@ablodgett,of,,Possessor,,"I am not sure about the quality |of| the other doctors there , but i do know from personal experience that Dr. Christopher T. Strzalka is not a man of his word , and is also very CRUEL AND UNCARING !!"
ewtb.r.154157.3:5,@ablodgett,of,,Whole,,"He was less than half |of| the price of the cheapest quote we got , and his work was top notch ."
ewtb.r.154157.3:8,@ablodgett,of,,Possessor,,"He was less than half of the price |of| the cheapest quote we got , and his work was top notch ."
ewtb.r.159371.2:24,@ablodgett,of,,Whole,,me and my dad where in NJ for a kc chiefs ( my home team ) vs the NY jets and for game 4 |of| the world series .
ewtb.r.160073.12:8,@ablodgett,of,,Whole,,Their prices are extremely reasonable for the amount |of| food you receive .
ewtb.r.160073.19:14,@ablodgett,of,,Superset,,"PS I have noticed on here that someone left a comment that "" all |of| the nice comments must come from co workers or friends "" and I will tell you that I do n't know these people except from eating at their restaurant ."
ewtb.r.160073.2:16,@ablodgett,of,,Superset,,My family and I moved to San Antonio a year ago and have tried almost all |of| the Chinese Restaurants because we love Chinese food .
ewtb.r.164805.10:35,@ablodgett,of,,Superset,,"I have purchased over 15 vehicles ( cars , rvs , and boats ) in my lifetime and I have to say the experience with Michael and Barrett Motor Cars of San Antonio was one |of| the best ."
ewtb.r.164805.6:15,@ablodgett,of,,Possessor,,I loved the car so we began negotiating my trade - in and the price |of| the 09 XF .
ewtb.r.164937.4:1,@ablodgett,of,,Superset,,One |of| my top 5 places to eat in Baltimore .
ewtb.r.165018.4:40,@ablodgett,of,,Theme,,"I was then moved to another room around the back where the room was dirty , the shower was dirty with other people s hair in it , the toilet seat was peeling and rough and the bathroom was full |of| mould ."
ewtb.r.165032.1:5,@ablodgett,of,,Whole,,Michael helped shoot the majority |of| my firm 's website and we could not have been happier .
ewtb.r.170650.6:4,@ablodgett,of,,Whole,,"At the front door |of| his office , I nearly turned around ."
ewtb.r.170650.9:17,@ablodgett,of,,Superset,,"They made me feel confident in what they would do , and treated me like a member |of| their own family ."
ewtb.r.181748.11:43,@ablodgett,of,,Possessor,,"I mean , I do n't care if he does n't know , but if he pretends to know and tells me BS to my face , there 's no way I 'm going to trust him when matters turn to the price |of| the car and financing ."
ewtb.r.181748.1:2,@ablodgett,Of,,Theme,,Be Careful |Of| Who Your Sales Guy Is
ewtb.r.181748.8:10,@ablodgett,of,,Possessor,,"After that , I just tried to ignore his lack |of| professionalism and test drive the car ."
ewtb.r.183172.4:15,@ablodgett,of,,Superset,,"I also had a pedicure , and they cut my nails too short , one |of| my big toes looks like it s getting infected ."
ewtb.r.183518.7:3,@ablodgett,of,,Whole,,"There 's plenty |of| parking , and I 've never had an issue with audience members who wo n't stop talking or answering their cellphones ."
ewtb.r.187266.12:21,@ablodgett,of,,Theme,,I rrly seek the cehf out to introduce myself -- but the second time we went -- i made a point |of| asking our wait person to introduce my friend and myself to the chef to tell him just how good our meals were .
ewtb.r.192713.5:12,@ablodgett,of,,Stimulus,,I especially liked the Eco friendly atmosphere and the owner s love |of| all animals .
ewtb.r.192737.2:20,@ablodgett,of,,Possessor,,"Nigel from Nidd Design has always provided a first class service , from his advice and professionalism to the quality |of| his design drawings and planning applications ."
ewtb.r.207629.3:4,@ablodgett,of,,?Superset,,"I 've read some |of| the reviews below and would like to state that yes , like any other doctor s office there is sometimes a wait ( depending on what other patients are being seen for ) and some of the tests and procedures that are ran can be costly ( just like they would be for any other medical tests elsewhere if you do not have insurance ) ..."
ewtb.r.207629.3:40,@ablodgett,of,,?Superset,,"I 've read some of the reviews below and would like to state that yes , like any other doctor s office there is sometimes a wait ( depending on what other patients are being seen for ) and some |of| the tests and procedures that are ran can be costly ( just like they would be for any other medical tests elsewhere if you do not have insurance ) ..."
ewtb.r.211797.13:32,@ablodgett,of,,Superset,,"Aside from that little * mystery * , one of the sales ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared to one |of| her dresses that I was trying on ."
ewtb.r.211797.13:9,@ablodgett,of,,Superset,,"Aside from that little * mystery * , one |of| the sales ladies was quite comfortable telling me how wrong I was about how another dress that I loved compared to one of her dresses that I was trying on ."
