,P,,Transitivity,v1,Informal grouping,v2 Scene Role,v2 Prep Function,sent:token ID,v2 decision,
ewtb.r.245160.8:8,for,,,Purpose,,Purpose,,ewtb.r.245160.8:8,Purpose,i would highly recommend calling these people up |for| your next car .
ewtb.r.248027.3:8,for,,,Purpose,,Purpose,,ewtb.r.248027.3:8,Purpose,The staff will not even answer the phone |for| take out .
ewtb.r.248616.1:4,for,,,Purpose,,Purpose,,ewtb.r.248616.1:4,Purpose,Took a laptop in |for| a video cable to be replaced .
ewtb.r.251774.2:11,for,,,Purpose,,Purpose,,ewtb.r.251774.2:11,Purpose,I came in and saw Dr. Ruona about a month ago |for| quitting smoking .
ewtb.r.255261.5:5,for,,,Purpose,,Purpose,,ewtb.r.255261.5:5,Purpose,Go there on christian holidays |for| a bit of churchy grandure .
ewtb.r.255261.9:11,for,,,Purpose,,Purpose,,ewtb.r.255261.9:11,Purpose,"It 's historical for Sf , so when your aunte comes |for| a visit , take her there ."
ewtb.r.262441.1:4,for,,,Purpose,,Purpose,,ewtb.r.262441.1:4,Purpose,"I phoned this company |for| advice on our office refurb and although we did not use them in the end ( as our building contractor carried out the electrical work ) , they provided me with plenty of useful information over an hour phone call and subsequently we are now using PJC as our electrical maintenance contractor ."
ewtb.r.270502.4:6,for,,,Purpose,,Purpose,,ewtb.r.270502.4:6,Purpose,Re-interviewed and am going on interviews |for| a new job .
ewtb.r.272836.2:23,for,,,Purpose,,Purpose,,ewtb.r.272836.2:23,Purpose,"Since moving back from college and trying to settle roots in the Village , I have referred to the La Jolla Blue Book |for| a ton of local numbers ."
ewtb.r.275595.2:16,for,,,Purpose,,Purpose,,ewtb.r.275595.2:16,Purpose,this dentist want to pull the tooth out always .. always wants to do the cheapest |for| his benefit .. not unless he knows you .
ewtb.r.280844.8:7,for,,,Purpose,,Purpose,,ewtb.r.280844.8:7,Purpose,"I know it can take a while |for| results and did n't expect a miracle , but after 2 months I felt like it was not entirely worth the cost / time ."
ewtb.r.288100.4:33,for,,,Purpose,,Purpose,,ewtb.r.288100.4:33,Purpose,"It took them nearly two months to complete a simple task , and countless calls from my part due to their lack of response and passion ( not that it 's a requirement |for| the job , but it helps to at least pretend to be helpful ) ."
ewtb.r.294812.2:16,for,,,Purpose,,Purpose,,ewtb.r.294812.2:16,Purpose,"Food is just okay .. wo n't crave it , but would n't mind coming back |for| a quick meal ."
ewtb.r.295288.7:14,for,,,Purpose,,Purpose,,ewtb.r.295288.7:14,Purpose,"So yes , I would n't hesitate in recommending the team at Just Autos |for| easy professional car repairs , Thank you Just Autos for your help ."
ewtb.r.307170.3:5,for,,,Purpose,,Purpose,,ewtb.r.307170.3:5,Purpose,I use their limo services |for| all of my airport car services and airport transportation needs
ewtb.r.308088.4:15,for,,,Purpose,,Purpose,,ewtb.r.308088.4:15,Purpose,As a previous Internet Manager I would deal with anyone looking to buy a car |for| a profit and not care if they came in with a broker .
ewtb.r.308387.1:3,for,,,Purpose,,Purpose,,ewtb.r.308387.1:3,Purpose,I called them |for| an estimate and they INSULTED ME WHEN I ASK THEM QUESTIONS .
ewtb.r.310032.9:4,for,,,Purpose,,Purpose,,ewtb.r.310032.9:4,Purpose,Go to the website |for| coupons and join the club - you can get free parking .
ewtb.r.314024.2:11,for,,,Purpose,,Purpose,,ewtb.r.314024.2:11,Purpose,"Great meats that are already cooked , easy to take home |for| dinner ."
ewtb.r.319816.15:28,for,,,Purpose,,Purpose,,ewtb.r.319816.15:28,Purpose,"However , when he printed out the service quote , I could see that it was NOT the correct tire , and was not even an appropriate tire |for| my car model ."
ewtb.r.323449.6:13,for,,,Purpose,,Purpose,,ewtb.r.323449.6:13,Purpose,"I was not impressed , and quite frustrated at their lack of rating |for| their courses ."
ewtb.r.330966.4:69,for,,,Purpose,,Purpose,,ewtb.r.330966.4:69,Purpose,"I have never considered this a real problem as I travel without kids and can fend for myself , but when I had to listen to a ( non-violent ) domestic fight that lasted from 1 AM to 5 AM during my last stay and I found out that the front desk was unmanned during night hours , my choice was to either waste tax payers money by calling |for| a yet another police dispatch to this hotel , or just get over it ."
ewtb.r.335225.5:8,for,,,Purpose,,Purpose,,ewtb.r.335225.5:8,Purpose,"I hate to say check them out just |for| the salsa , but James , I NEED another jar badly :) All kidding aside , they are a very good company , I have a hard time giving any service biz a 5 star review but they came close ."
ewtb.r.339176.2:14,for,,,Purpose,,Purpose,,ewtb.r.339176.2:14,Purpose,I 've been to this shop twice ( once for an inspection and again |for| an oil change ) and they truly live up to their name : Discount !
ewtb.r.339176.2:9,for,,,Purpose,,Purpose,,ewtb.r.339176.2:9,Purpose,I 've been to this shop twice ( once |for| an inspection and again for an oil change ) and they truly live up to their name : Discount !
ewtb.r.339176.3:7,for,,,Purpose,,Purpose,,ewtb.r.339176.3:7,Purpose,"They have all kind of coupons available |for| car washes , oil changes , state inspection , etc ."
ewtb.r.340848.10:5,for,,,Purpose,,Purpose,,ewtb.r.340848.10:5,Purpose,A great place to go |for| dinner after a day of wine tasting .
ewtb.r.356361.3:8,for,,,Purpose,,Purpose,,ewtb.r.356361.3:8,Purpose,A well communicated and will be hireing again |for| another projects ......
ewtb.r.359433.2:4,for,,,Purpose,,Purpose,,ewtb.r.359433.2:4,Purpose,We have used them |for| plumbing & A / C and they are affordable and get the work done right .
ewtb.r.369087.9:8,for,,,Purpose,,Purpose,,ewtb.r.369087.9:8,Purpose,I will definitely be bringing my car back |for| service .
ewtb.r.371492.3:8,for,,,Purpose,,Purpose,,ewtb.r.371492.3:8,Purpose,No more having to drive to San Francisco |for| a great mani pedi .
ewtb.r.376503.1:4,for,,,Purpose,,Purpose,,ewtb.r.376503.1:4,Purpose,I interviewed several contractors |for| a kitchen remodel .
ewtb.r.385281.6:10,for,,,Purpose,,Purpose,,ewtb.r.385281.6:10,Purpose,I would highly recommend it and will be going back |for| my next haircut .
ewtb.r.389498.3:15,for,,,Purpose,,Purpose,,ewtb.r.389498.3:15,Purpose,Today I went into Kwik Kar and there were two cars in front of me |for| inspection ... but I was still out of there pretty quick ... barely had time to read a chapter in my book .
ewtb.r.191666.4:13,for the sake of,,,Purpose,,Purpose,,,,2 ) The employees constantly talk down to customers and are very argumentative |for| |the| |sake| |of| being argumentative .
ewtb.r.217359.5:4,in hopes to,,,Purpose,,Purpose,,,,They make up excuses |in| |hopes| |to| confuse their policy holders with misinformation .
ewtb.r.328828.2:3,to,,,Purpose,appointment to have them _,Purpose,,,,Made an appointment |to| have them come to the house to discuss curtain options and give an estimate .
ewtb.r.220214.3:20,to,,,Purpose,be admitted to be a patient,Purpose,,,,"They also do n't tell you that they 're going to mail you an "" application "" to be admitted |to| be a patient ."
ewtb.r.263630.6:49,to,,,Purpose,do _ to,Purpose,,,,"Not only that , but he told us , via his manager , that it was our responsibility to get up a second time in the middle of the night and call the night staff if the problem continued , even though his manager did nothing the first time |to| stop the kids ."
ewtb.r.345182.13:11,to,,,Purpose,do _ to,Purpose,,,,She told me that was to bad she would do nothing |to| help me since she could not use or resell the piece .
ewtb.r.391012.7:52,to,,,Purpose,do _ to,Purpose,,,,I 've spoken to vendors who are used by them who had nothing good to say about the company as well and in fact were afraid to quote events against them even though they openly admitted that they felt Canadian Outback was pricing their entertainment out of the market and doing more |to| hurt their business than help them .
ewtb.r.194830.3:15,to,,,Purpose,everything I need to,Purpose,,,,"Pets Discount has lovely employees , a wonderful grooming service , and everything I need |to| keep my dog in tip top condition !"
ewtb.r.124163.6:9,to,,,Purpose,extra-mile,Purpose,,,,He is always prepared to go the extra mile |to| ensure that any patient discomfort is dealt with immediately -
ewtb.r.131965.2:16,to,,,Purpose,extra-mile,Purpose,,,,"We at R&L Plumbing Services are pleased with your professionalism and the extra mile you went |to| get out computers working correctly , you will be our first call if anything happens again and we will refer you to other people with computer issues ."
ewtb.r.346960.2:5,to,,,Purpose,extra-mile,Purpose,,,,They went the extra mile |to| repair my cowboy boots -- they had to have a special kind of paper that looked like wood grain to fix the heels .
ewtb.r.084373.2:11,to,,,Purpose,need s.b. to,Purpose,,,,Our window panes were so dirty that they needed a specialist |to| come and clean them .
ewtb.r.036753.9:20,to,,,Purpose,need s.t. to,Purpose,,,,"From a moral standpoint , you guys are really gon na take 2,000 bucks from someone that needs that truck |to| work and support his family when you know it s just a piece of scrap metal ?"
ewtb.r.210066.2:31,to,,,Purpose,need s.t. to,Purpose,,,,"Called the Bonanza store 2 weeks ago , before I ripped out 350 sq ft of ceramic tile ... was told I would need a "" dual head concrete grinder "" |to| remove thinset and make a nice "" finished "" look ( ready for concrete stain ) ."
ewtb.r.004940.8:6,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,They called and worked with me |to| fix it so that it would look perfect .
ewtb.r.006970.4:5,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,I called the next morning |to| let then know my wife would be driving in .
ewtb.r.006970.5:13,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,They gave me the run around and missing paperwork only to call back |to| tell me someone else wanted her and I would need to come in and put down a deposit .
ewtb.r.018465.5:16,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,"I never got a price quote over the phone and they take your cc info just |to| make the appointment because if you do n't show up , they 'll charge you ."
ewtb.r.034501.6:17,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,"Cards , wrapping paper , paper , and an area to sit down and talk with someone |to| design your own invitations or for whatever else your custom printing needs may be ."
ewtb.r.034501.7:17,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,"I gave the woman I spoke with today a "" You 've been yelped ! "" card |to| let her know that Yelp may be a good tool for helping spreading the word about Papeluna ."
ewtb.r.036133.17:10,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,I 've had to pester this new guy several times |to| ask when my table will arrive .
ewtb.r.036133.20:39,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,"Point is : You might be able to get a good deal on some nice furniture -- which I did -- but they 're not very communicative and god forbid something goes wrong , you 'll have to fight |to| get it resolved ."
ewtb.r.114849.1:24,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,"Used their service for the first time and was immediately impressed by their professionalism ( received a phone call soon after order was placed |to| confirm details ) and the subsequent delivery of my gift ( To Split , Croatia ) was as requested ."
ewtb.r.117115.9:8,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,"I called Home - Excel the next day |to| order a replacement screen for the window , and was happily surprised when they said that they were n't even going to charge me for the replacement screen ... that it would be covered under their guarentee ."
ewtb.r.118718.4:11,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,They were accomdating with my scheduled and work with my insurance |to| get payment for the surgery .
ewtb.r.134622.2:8,to,,,Purpose,purpose-of-communication/interaction,Purpose,,,,"From the amount of time spent with us |to| explain things during the initial quote , to the communication through the approval process to the actual workmanship of the build itself ."
ewtb.r.007403.6:4,to,,,Purpose,purpose-of-info-seeking,Purpose,,,,Please visit my website |to| learn more about my practice at www.veraakulov.com .
ewtb.r.081934.4:8,to,,,Purpose,purpose-of-info-seeking,Purpose,,,,"As I have gone through many reviews sites |to| see if any provider is providing better services or not , and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting ."
ewtb.r.080178.6:12,to,,,Purpose,purpose-of-observation,Purpose,,,,They know their job and you do not have to watch them |to| be sure everything is done right .
ewtb.r.008585.5:54,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,"They tracked down the only tire that fit my BMW 330i in Murfreesboro within minutes and secured it , then they came out , took off my tire ( it was a runflat - but runflats do n't do you any good if they blow out ) , and brought it to their shop |to| change the tire ."
ewtb.r.010433.5:10,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,Had to go the the bus boy s station ourselves |to| get napkins .
ewtb.r.011257.4:11,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,I said great and Dan arrived on time at 10 am |to| make the repair .
ewtb.r.018548.5:13,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,"also , you can call em ahead of time , and then go |to| pick up ur food , or have it delivered ** ."
ewtb.r.035899.2:3,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,We walked in |to| pick our little man at 10 minutes to closing and heard laughter from kids and the staff .
ewtb.r.079007.9:0,To,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,|To| make a order you may have to go to back of line .
ewtb.r.079375.9:14,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,I live nearly two hours away and yet I will still make the drive |to| see them !
ewtb.r.086839.5:5,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,"We took it back in |to| have it repaired again , and less than a week later the second compressor went out ."
ewtb.r.089136.2:9,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,Make sure to put OILY sauces on your food |to| make it moist !
ewtb.r.090643.4:9,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,I 've also sent over a number of friends |to| use the services here and everyone is extraordinarily pleased !
ewtb.r.091704.7:21,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,Once they realized their mistake they sent a mechanic and tow truck to my wife 's work and towed it back |to| fix it .
ewtb.r.095523.4:11,to,,,Purpose,purpose-of-self-motion/caused-motion,Purpose,,,,Since I 'm usually at work late Deb has stayed around |to| help me out when needed .
ewtb.r.026883.10:31,to,,,Purpose,s.t. necessary to,Purpose,,,,Upon delivery it was clear the entire set was damaged : a piece of wood was broke on the headboard ; the chest of drawers was missing all four pieces necessary |to| attach the legs ; the dresser back legs were pushed in causing the dresser to lean into the wall ; and a nighstand was missing a drawer .
ewtb.r.241739.4:10,to,,,Purpose,take one’s time to,Purpose,,,,I have terrible hair and he really takes his time |to| make it look right .
ewtb.r.245160.3:23,to,,,Function,take the time to,Purpose,,,,i was looking for a car but did not really know what i wanted and they were very helpful and took the time |to| first figure out what my needs were and showing me various options to meet those needs .
ewtb.r.359014.3:8,to,,,Function,take the time to,Purpose,,,,He is very knowledgeable and took the time |to| explain the repairs to me .
ewtb.r.042012.2:8,to,,,Purpose,take the time to,Purpose,,,,If ever in Sicily please take the time |to| visit Anna Maria Jose Mudo and her familia .
ewtb.r.043020.15:12,to,,,Purpose,take the time to,Purpose,,,,So I figure if they do n't want to take the time |to| fix the fence that they installed then I 'll take the time to let everyone I can know about how they treat customers once they have your money !!!
ewtb.r.043020.15:25,to,,,Purpose,take the time to,Purpose,,,,So I figure if they do n't want to take the time to fix the fence that they installed then I 'll take the time |to| let everyone I can know about how they treat customers once they have your money !!!
ewtb.r.245160.6:10,to,,,Purpose,take the time to,Purpose,,,,after finding the car i wanted they took the time |to| go over each step and making it as painless as possible .
ewtb.r.042085.2:4,to,,,Purpose,take TIME_QUANTITY to,Purpose,,,,"Took 1 + hour |to| deliver to Chatham , hair in food , driver did n't know area ."
ewtb.r.216456.8:4,to,,,Purpose,TYPO: talk,Purpose,,,,"I called 3 times |to| talked to a manager , never a call back ."
ewtb.r.004540.2:18,to,,,Purpose,,Purpose,,,,"For example , I actually forgot to feed my cat , and they went out of their way |to| take care of him ."
ewtb.r.004940.1:15,to,,,Purpose,,Purpose,,,,"We have been blessed to find Elite Flyers online and would not use anyone else |to| handle our postcards , posters , etc ."
ewtb.r.011257.3:10,to,,,Purpose,,Purpose,,,,She sort of appologized for Dan taking the day off |to| go skiing - but he could do the repair on Sunday !
ewtb.r.026641.2:4,to,,,Purpose,,Purpose,,,,I am hiring them |to| come once a week now that they got my house to where they can maintain it for only an hour and a half every two weeks !
ewtb.r.030811.2:29,to,,,Purpose,,Purpose,,,,"I highly recommend Debi , she does an amazing job , I "" love "" the way she cuts my hair , extremely thorough and cross checks her work |to| make sure my hair is perfect ."
ewtb.r.042416.6:11,to,,,Purpose,,Purpose,,,,Everyone was so friendly and really went out of their way |to| make sure everything went well .
ewtb.r.043020.2:5,to,,,Purpose,,Purpose,,,,B&B came out very quickly |to| give us our quote back in June .
ewtb.r.043020.3:20,to,,,Purpose,,Purpose,,,,"They were very polite , eager to answer any questions and willing to wait for us to return from vacation |to| begin installing our fence ."
ewtb.r.043020.8:17,to,,,Purpose,,Purpose,,,,We then called the office and the man we spoke to said he 'd send someone out |to| look at it but could n't promise when - two weeks came and went and we heard nothing .
ewtb.r.047007.1:1,to,,,Purpose,,Purpose,,,,Called |to| check if they had a product I 've been using on my dog for years ... the boy who answered the phone could n't possibly have been ruder to me .
ewtb.r.055976.7:17,to,,,Purpose,,Purpose,,,,Sometimes it is not worth it to go through that kind of staff and their personal attitude |to| get to a doctor .
ewtb.r.059005.3:6,to,,,Purpose,,Purpose,,,,I go in about every morning |to| get bagels for myself or my co-workers and the employees at Max 's are great !!
ewtb.r.061768.2:3,to,,,Purpose,,Purpose,,,,I came in |to| get a nice gift for my wife .
ewtb.r.063347.5:37,to,,,Purpose,,Purpose,,,,"This is a busy group of hosts they are also running a restaurant , which also must be wonderful - so just ask for what you need , and I 'm sure they will do their best |to| be hospitable ."
ewtb.r.068009.3:25,to,,,Purpose,,Purpose,,,,"As a qualified criminal defense attorney , he will work every possible legal "" angle "" ( leaving no stone unturned ) of your case |to| achieve the most favorable result possible ."
ewtb.r.071518.2:7,to,,,Purpose,,Purpose,,,,I took my 2001 Nissan Frontier in |to| fix a cracked manifold .
ewtb.r.071650.7:15,to,,,Purpose,,Purpose,,,,Back to my poor rating - I was excepted to medical school and went in |to| cancel my membership as I was told I could do since I was moving away .
ewtb.r.071650.8:28,to,,,Purpose,,Purpose,,,,"The owner was VERY rude , accused me of not reading my contract , and basically told me to shut up when I was trying to ask questions |to| further understand the process of canceling my membership ."
ewtb.r.076352.5:12,to,,,Purpose,,Purpose,,,,"This is a nice place , and I know we will return |to| meet my sister - in - law from Chicago !!"
ewtb.r.079375.3:5,to,,,Purpose,,Purpose,,,,They worked around the clock |to| ensure that my puppy life was saved .
ewtb.r.107692.3:12,to,,,Purpose,,Purpose,,,,"A restaurant with this many patrons willing to stand in line just |to| order tacos must be good , right ?"
ewtb.r.116821.15:7,to,,,Purpose,,Purpose,,,,"They might want to change the name |to| reflect the new yorkedness of the pizza , scrummy yummy sounds gimmicky to me ."
ewtb.r.119026.3:9,to,,,Purpose,,Purpose,,,,"Give yourself the gift of trying this place , |to| see if it fits you ..."
ewtb.r.122270.4:6,to,,,Purpose,,Purpose,,,,Surgery visit timings were always made |to| suit me and not them and they gave me the feeling that I mattered and was important to them .
ewtb.r.133981.4:24,to,,,Purpose,,Purpose,,,,Both bathrooms look like they were flooded and the wood cabinets are thrashed at the bottom and they slapped some pieces of wood over |to| try to cover it up .
ewtb.r.134741.3:11,to,,,Purpose,,Purpose,,,,It made me feel good to see people work so hard |to| take care of others belongings .
ewtb.r.135800.10:9,to,,,Purpose,,Purpose,,,,They still would not drive the car with me |to| show their mpg number .
ewtb.r.135800.4:12,to,,,Purpose,,Purpose,,,,"However , they would never drive the car with me in it |to| prove their findings ."
ewtb.r.141103.3:28,to,,,Purpose,,Purpose,,,,What you get is a $ 13 / day charge to access the internet through a slow 512 / 512 kb / s that you can only use |to| check email etc ( Read : No downloading ) .
ewtb.r.142081.5:24,to,,,Purpose,,Purpose,,,,What made it perfect was that they offered transportation so that I would not have to wait there or take time off of work |to| go back and forth or try to find a ride .
ewtb.r.154113.3:5,to,,,Purpose,,Purpose,,,,I go to see her |to| have my hair cut .
ewtb.r.154157.5:2,to,,,Purpose,,Purpose,,,,Going back |to| have some lab coats done this weekend !
ewtb.r.156953.3:14,to,,,Purpose,,Purpose,,,,I go to school in the area and usually wait until I go home |to| get my hair cut .
ewtb.r.156953.8:15,to,,,Purpose,,Purpose,,,,Usually they blow dry it out and i have to wait until i wash it |to| see what it will look like in its natural state .
ewtb.r.159371.5:31,to,,,Purpose,,Purpose,,,,i mean a 2 day stay was a ok stay even tho the manager looked like he was chineze and that we only slept and went out from 8 to 7 |to| see New York .
ewtb.r.159485.1:50,to,,,Purpose,,Purpose,,,,In this hard economic times is very important to save money Very reasonable prices top quality work The owner operator he does all the the work with Helpers very friendly I definitely recommend this this guys Do n't get jack by big companies that they pay a lot of money |to| be on top of the list Thanks
ewtb.r.160442.3:17,to,,,Purpose,,Purpose,,,,They did a very bad job with my hair and were extremely rude when I went back |to| ask them why it did n't work for my hair .
ewtb.r.162253.2:26,to,,,Purpose,,Purpose,,,,I used my card to purchase a meal on the menu and the total on my receipt was $ 8.95 but when I went on line |to| check my transaction it show $ 10.74 .
ewtb.r.162422.18:2,to,,,Purpose,,Purpose,,,,I came |to| find out the person was the hotel OWNER also .
ewtb.r.163250.2:10,to,,,Purpose,,Purpose,,,,These people were so helpful this week and did everything |to| sort out my windscreen and insurance .
ewtb.r.164580.6:8,to,,,Purpose,,Purpose,,,,Now I have to be in the area |to| get some lovin' : sad face :
ewtb.r.164805.2:7,to,,,Purpose,,Purpose,,,,I sent my wife and daughter over |to| check out a pre-owned 2009 XF .
ewtb.r.165018.5:3,to,,,Purpose,,Purpose,,,,"I called reception |to| ask if they knew the state the room was in and was told "" This is a Days Inn , not the Hilton "" and the receptionist then hung up on me ."
ewtb.r.165032.2:5,to,,,Purpose,,Purpose,,,,We went through six photographers |to| find the right photographers that would represent our firm in the light we wished to and Michael and his team made that happen .
ewtb.r.183172.2:2,to,,,Purpose,,Purpose,,,,"I went |to| get my nails filled Friday , by Monday 2 were broken ."
ewtb.r.186284.3:8,to,,,Purpose,,Purpose,,,,"I am so glad that I called in |to| see Ana , she is a lovely girl who showed nothing but care and compassion towards me ."
ewtb.r.187266.12:35,to,,,Purpose,,Purpose,,,,I rrly seek the cehf out to introduce myself -- but the second time we went -- i made a point of asking our wait person to introduce my friend and myself to the chef |to| tell him just how good our meals were .
ewtb.r.187266.12:6,to,,,Purpose,,Purpose,,,,I rrly seek the cehf out |to| introduce myself -- but the second time we went -- i made a point of asking our wait person to introduce my friend and myself to the chef to tell him just how good our meals were .
ewtb.r.188548.10:13,to,,,Purpose,,Purpose,,,,There were no other options available ( I only brought my check card |to| cover any overage cost ) and she rang it up and applied it to the gift card before telling me about the tip policy .
ewtb.r.190256.3:9,to,,,Purpose,,Purpose,,,,"I called a few different businesses in the area |to| get estimates , they were n't the cheapest I found but very reasonable ."
ewtb.r.194153.1:21,to,,,Purpose,,Purpose,,,,"Barb does an AMAZING JOB , she is always learning new things on how to use her hands and body , |to| give every person an AWESOME MASSAGE , CALL TODAY AND SCHEDULE YOU MUST SEE HER , YOU WILL FALL IN LOVE SHE IS THE BEST OF THE BEST !"
ewtb.r.200429.3:13,to,,,Purpose,,Purpose,,,,"I explained that i was already on my way and i would rush |to| get there as soon as i could because i needed my car for work at 5 am , but the guy was arguing with me saying he was gon na lock the doors right at 5:30 ."
ewtb.r.200957.2:14,to,,,Purpose,,Purpose,,,,I have been growing my hair out for 1 year plus and went in |to| get 1 inch taken off .
ewtb.r.215460.3:18,to,,,Purpose,,Purpose,,,,Apart from that in spite of my repeated attempts I could not get in touch with the manager |to| even lodge an official complaint .
ewtb.r.216456.4:5,to,,,Purpose,,Purpose,,,,My friend called the hotel |to| cancel our room as soon as I called her .
ewtb.r.219262.3:7,to,,,Purpose,,Purpose,,,,I had John and Dustin working feverishly |to| get my exhaust motor replaced .
ewtb.r.221664.2:5,to,,,Purpose,,Purpose,,,,"I brought a car in |to| have the "" check engine "" light diagnosed back in March of 2010 ."
ewtb.r.228731.1:42,to,,,Purpose,,Purpose,,,,"prepared the road test with a driving ... prepared the road test with a driving school in edmonton , but my instructor only trained me in a narrow street , hence I took one 90 minute lesson from the Noble driving school |to| learn the skill of changing lane , and found them very friendly and professional ."
ewtb.r.231203.6:43,to,,,Purpose,,Purpose,,,,"However , the bartenders / waitresses definately need to be re-trained ( if they ever had any to begin with ) and learn two things : only chat with customers when other customers are not impatiently waiting and to look around more often |to| see if people are waiting ."
ewtb.r.235423.4:8,to,,,Purpose,,Purpose,,,,"I called in my order and upon arriving |to| pick it up , they got my order confused with someone else s ."
ewtb.r.235423.8:9,to,,,Purpose,,Purpose,,,,We were standing in the store for 20 minutes |to| simply pick up an order .
ewtb.r.243799.2:18,to,,,Purpose,,Purpose,,,,went in there and got my dog groomed came home to an uneven dog then took him back |to| get evened up what a mistake !
ewtb.r.248027.4:20,to,,,Purpose,,Purpose,,,,"Tonight , I called several times with no answer ( Btwn 5:30 and 6 pm ) and finally drove there |to| place my order in person ."
ewtb.r.252791.3:7,to,,,Purpose,,Purpose,,,,"I had to dig in a bag |to| find one nice feather , what a joke !"
ewtb.r.254908.1:4,to,,,Purpose,,Purpose,,,,I hired this company |to| unlock my car .
ewtb.r.264993.2:7,to,,,Purpose,,Purpose,,,,I schedule my weekly appointment here just |to| get a chance to lie comfortably on my tummy .
ewtb.r.278775.6:18,to,,,Purpose,,Purpose,,,,2 . We really liked the fact that Stuart sets defined objectives and we meet once a month |to| go over our Key Performance Indicators .
ewtb.r.281976.4:11,to,,,Purpose,,Purpose,,,,"However , during the test , they did whatever they can |to| get my test failed ."
ewtb.r.283041.4:12,to,,,Purpose,,Purpose,,,,"Although I 'll have to drive a little out of my way |to| go there , I 'll gladly do it knowing that since she 's been astounding to me once before that she 'll always be that way !"
ewtb.r.288100.5:31,to,,,Purpose,,Purpose,,,,"Also , I was promised to have my test results emailed to me , but it never happened , and after a few attempts to get Dr. Romanick on the phone |to| brief me on my condition , I finally gave up and went to a different doctor ."
ewtb.r.288163.9:12,to,,,Purpose,,Purpose,,,,I would reccomend anyone to go see Jana Kueck and Robin Talley |to| see all the many procedures they have to offer .
ewtb.r.290594.11:10,to,,,Purpose,,Purpose,,,,"You were clearly given another alternative by Second Home , |to| board him - which might have given your dog a chance to come and go from Second Home a couple times , getting used to the place and maybe facilitating another attempt to get into daycare later ."
ewtb.r.294081.8:15,TO,,,Purpose,,Purpose,,,,I HAD TO ASK THE GIRL WHO BROUGHT MY FOOD AND SHE NEVER CAME BACK |TO| LET ME KNOW .
ewtb.r.295727.4:6,to,,,Purpose,,Purpose,,,,He also inspected my entie roof |to| see if there was anything else that needed attention .
ewtb.r.295727.5:5,to,,,Purpose,,Purpose,,,,He called the next day |to| see if everything was to my satisfaction .
ewtb.r.308088.2:10,to,,,Purpose,,Purpose,,,,"I was looking to bring a customer to their lot |to| buy a car but the Internet salesperson Last name is Balazick sent me this email "" AND IF IT WAS WORTH MY TIME I WOULD OF BOTHERED ASWERING YOUR QUESTIONS ."
ewtb.r.319816.10:9,to,,,Purpose,,Purpose,,,,"The following Friday , I returned with my car |to| go ahead and replace the other 3 tires , which were worn ."
ewtb.r.319816.23:20,to,,,Purpose,,Purpose,,,,Of course I could n't make it back in time ( and they apparently could not stay 5 extra minutes |to| wait for me ) .
ewtb.r.319816.25:9,to,,,Purpose,,Purpose,,,,"Of course , they could n't call him either |to| ask about it because apparently they do n't keep their employees ' phone numbers ( riiight ) , so I would have to return on Monday ( driving for 3 days now with no wheel lock should I get a flat ) ."
ewtb.r.319816.3:8,to,,,Purpose,,Purpose,,,,I brought my car in on a Sunday |to| replace a shredded tire .
ewtb.r.319816.6:3,to,,,Purpose,,Purpose,,,,"Once I returned |to| pick up my car , you can believe I spent quite a bit MORE time standing around waiting ."
ewtb.r.328828.2:10,to,,,Purpose,,Purpose,,,,Made an appointment to have them come to the house |to| discuss curtain options and give an estimate .
ewtb.r.328828.4:5,to,,,Purpose,,Purpose,,,,"When I called the manager |to| complain , she said she KNEW the guy did n't know about curtains and that the usual lady called in sick hours earlier !"
ewtb.r.331662.5:29,to,,,Purpose,,Purpose,,,,"They always ask if you have meat in your dish , ( for vegetarians like me ) , they scrub an area of the grill and use separate utensils |to| cook ."
ewtb.r.333243.4:9,to,,,Purpose,,Purpose,,,,"However , then I asked to amend my return |to| apply a credit I had just become eligible for ."
